time,lane,type
0,0,0
45,0,0
136,1,0
273,2,0
409,3,0
545,2,0
614,2,0
682,2,0
682,1,0
818,0,0
955,1,0
1023,1,0
1091,1,0
1091,2,0
1159,2,0
1227,3,0
1273,3,0
1318,3,0
1364,2,0
1500,1,0
1636,0,0
1773,1,0
1909,2,0
2045,3,0
2182,2,0
2318,1,0
2455,0,0
2591,1,0
2591,3,0
2636,0,0
2682,1,0
2727,2,0
2773,3,0
2818,0,0
2864,1,0
3045,2,0
3182,3,0
3318,2,0
3364,2,0
3409,2,0
3455,1,0
3591,0,0
3659,0,0
3727,0,0
3727,1,0
3864,2,0
4000,3,0
4045,3,0
4091,3,0
4136,2,0
4273,1,0
4409,0,0
4545,1,0
4591,0,0
4636,3,0
4682,2,0
4727,1,0
4773,0,0
4818,3,0
5000,2,0
5045,2,0
5091,2,0
5136,3,0
5136,2,0
5182,3,0
5227,0,0
5273,1,0
5318,2,0
5364,3,0
5409,0,0
5455,1,0
5500,2,0
5545,3,0
5727,2,0
5864,1,0
6000,0,0
6136,1,0
6136,3,0
6182,2,0
6227,1,0
6273,0,0
6318,3,0
6364,2,0
6409,1,0
6455,0,0
6636,2,0
6682,2,0
6727,2,0
6773,3,0
6909,2,0
7045,1,0
7182,0,0
7318,1,0
7364,1,0
7455,2,0
7500,2,0
7545,2,0
7591,3,0
7727,2,0
7773,2,0
7864,1,0
8000,0,0
8045,0,0
8091,0,0
8136,1,0
8182,0,0
8227,3,0
8273,2,0
8318,1,0
8364,0,0
8409,3,0
8455,2,0
8500,1,0
8545,0,0
8727,2,0
8864,3,0
9000,2,0
9136,1,0
9273,0,0
9409,1,0
9477,1,0
9545,2,0
9682,3,0
9750,3,0
9818,3,0
9818,2,0
9955,1,0
10091,0,0
10227,1,0
10364,2,0
10500,3,0
10636,2,0
10773,1,0
10909,0,0
11045,1,0
11182,2,0
11318,3,0
11455,2,0
11500,2,0
11591,1,0
11727,0,0
11864,1,0
12000,2,0
12136,3,0
12273,2,0
12318,2,0
12364,2,0
12409,1,0
12545,0,0
12682,1,0
12818,2,0
12955,3,0
13091,2,0
13136,2,0
13182,2,0
13227,1,0
13364,0,0
13500,1,0
13636,2,0
13773,3,0
13909,2,0
14045,1,0
14182,0,0
14250,0,0
14318,0,0
14318,1,0
14364,1,0
14455,2,0
14591,3,0
14727,2,0
14864,1,0
15000,0,0
15136,1,0
15273,2,0
15409,3,0
15545,2,0
15682,1,0
15818,0,0
15818,1,0
15864,2,0
15909,3,0
15955,0,0
16000,1,0
16045,2,0
16091,3,0
16136,0,0
16182,1,0
16227,2,0
16409,1,0
16545,2,0
16682,3,0
16727,3,0
16773,3,0
16818,2,0
16955,1,0
17091,0,0
17227,1,0
17273,1,0
17318,1,0
17364,2,0
17500,3,0
17636,2,0
17773,1,0
17909,0,0
17955,0,0
18000,0,0
18045,1,0
18091,1,0
18182,2,0
18318,3,0
18455,2,0
18591,1,0
18727,0,0
18864,1,0
19000,2,0
