time,lane,type
0,0,0
136,1,0
273,2,0
409,3,0
545,2,0
682,1,0
818,0,0
955,1,0
1091,2,0
1227,3,0
1364,2,0
1500,1,0
1636,0,0
1773,1,0
1909,2,0
2045,3,0
2182,2,0
2318,1,0
2455,0,0
2591,1,0
2727,2,0
2864,3,0
3000,2,0
3136,1,0
3273,0,0
3409,1,0
3545,2,0
3682,3,0
3818,2,0
3955,1,0
4091,0,0
4227,1,0
4364,2,0
4500,3,0
4636,2,0
4773,1,0
4909,0,0
5045,1,0
5182,2,0
5318,3,0
5455,2,0
5591,1,0
5727,0,0
5864,1,0
6000,2,0
6136,3,0
6273,2,0
6409,1,0
6545,0,0
6682,1,0
6818,2,0
6955,3,0
6955,0,0
7000,3,0
7045,2,0
7091,1,0
7136,0,0
7182,3,0
7227,2,0
7409,2,0
7545,1,0
7682,0,0
7818,1,0
7955,2,0
8091,3,0
8227,2,0
8364,1,0
8500,0,0
8636,1,0
8773,2,0
8909,3,0
9045,2,0
9182,1,0
9318,0,0
9455,1,0
9591,2,0
9727,3,0
9864,2,0
9909,3,0
9955,0,0
10000,1,0
10045,2,0
10091,3,0
10273,1,0
10409,0,0
10545,1,0
10682,2,0
10818,3,0
10955,2,0
11091,1,0
11227,0,0
11364,1,0
11500,2,0
11636,3,0
11682,2,0
11727,1,0
11773,0,0
11818,3,0
11864,2,0
12045,2,0
12182,1,0
12318,0,0
12455,1,0
12455,2,0
12500,3,0
12545,0,0
12591,1,0
12636,2,0
12682,3,0
12864,2,0
13000,3,0
13136,2,0
13273,1,0
13409,0,0
13545,1,0
13682,2,0
13818,3,0
13955,2,0
14091,1,0
14227,0,0
14364,1,0
14500,2,0
14636,3,0
14773,2,0
14909,1,0
15045,0,0
15182,1,0
15318,2,0
15455,3,0
15591,2,0
15727,1,0
15864,0,0
16000,1,0
16136,2,0
16273,3,0
16409,2,0
16409,1,0
16455,2,0
16500,3,0
16545,0,0
16591,1,0
16636,2,0
16682,3,0
16727,0,0
16773,1,0
16955,1,0
17091,0,0
17227,1,0
17364,2,0
17500,3,0
17636,2,0
17773,1,0
17909,0,0
18045,1,0
18182,2,0
18318,3,0
18455,2,0
18591,1,0
18636,2,0
18682,3,0
18727,0,0
18773,1,0
18818,2,0
18864,3,0
19045,0,0
19182,1,0
19318,2,0
19455,3,0
19591,2,0
19727,1,0
19864,0,0
20000,1,0
20136,2,0
20273,3,0
20409,2,0
20409,3,0
20455,0,0
20500,1,0
20545,2,0
20591,3,0
20636,0,0
20682,1,0
20864,1,0
21000,0,0
21136,1,0
21273,2,0
21409,3,0
21545,2,0
21682,1,0
21818,0,0
21955,1,0
22091,2,0
22227,3,0
22364,2,0
22500,1,0
22636,0,0
22682,3,0
22727,2,0
22773,1,0
22818,0,0
22864,3,0
22909,2,0
22955,1,0
23136,1,0
23273,2,0
23409,3,0
23545,2,0
23682,1,0
23818,0,0
23955,1,0
24091,2,0
24227,3,0
24364,2,0
24500,1,0
24636,0,0
24773,1,0
24909,2,0
25045,3,0
25182,2,0
25318,1,0
25455,0,0
25591,1,0
25727,2,0
25864,3,0
26000,2,0
26136,1,0
26273,0,0
26409,1,0
26545,2,0
26682,3,0
26818,2,0
26955,1,0
27091,0,0
27227,1,0
27364,2,0
27500,3,0
27636,2,0
27773,1,0
27909,0,0
28045,1,0
28182,2,0
28318,3,0
28455,2,0
28591,1,0
28727,0,0
28864,1,0
29000,2,0
29136,3,0
29273,2,0
29273,1,0
29318,0,0
29364,3,0
29409,2,0
29455,1,0
29500,0,0
29545,3,0
29591,2,0
29636,1,0
29818,1,0
29955,0,0
30091,1,0
30227,2,0
30364,3,0
30500,2,0
30636,1,0
30773,0,0
30909,1,0
31045,2,0
31182,3,0
31318,2,0
31455,1,0
31591,0,0
31727,1,0
31864,2,0
32000,3,0
32136,2,0
32273,1,0
32409,0,0
32545,1,0
32682,2,0
32818,3,0
32955,2,0
33091,1,0
33227,0,0
33364,1,0
33500,2,0
33636,3,0
33773,2,0
33909,1,0
34045,0,0
34182,1,0
34182,2,0
34227,1,0
34273,0,0
34318,3,0
34364,2,0
34409,1,0
34455,0,0
34500,3,0
34545,2,0
34727,2,0
34727,0,0
34773,1,0
34818,2,0
34864,3,0
34909,0,0
34955,1,0
35000,2,0
35045,3,0
35091,0,0
35136,1,0
35318,3,0
35455,2,0
35591,1,0
35727,0,0
35864,1,0
36000,2,0
36136,3,0
36273,2,0
36409,1,0
36409,2,0
36455,1,0
36500,0,0
36545,3,0
36591,2,0
36636,1,0
36682,0,0
36727,3,0
36773,2,0
36955,0,0
37091,1,0
37227,2,0
37364,3,0
37500,2,0
37636,1,0
37773,0,0
37909,1,0
38045,2,0
38182,3,0
38318,2,0
38455,1,0
38591,0,0
38727,1,0
38864,2,0
39000,3,0
39136,2,0
39273,1,0
39409,0,0
39545,1,0
39682,2,0
39818,3,0
39955,2,0
40091,1,0
40227,0,0
40364,1,0
40500,2,0
40636,3,0
40773,2,0
40909,1,0
41045,0,0
41182,1,0
41227,0,0
41273,3,0
41318,2,0
41364,1,0
41409,0,0
41591,2,0
41727,3,0
41864,2,0
42000,1,0
42136,0,0
42273,1,0
42409,2,0
42545,3,0
42682,2,0
42818,1,0
42955,0,0
43091,1,0
43227,2,0
43364,3,0
43500,2,0
43636,1,0
43773,0,0
43909,1,0
44045,2,0
44182,3,0
44182,1,0
44227,2,0
44273,3,0
44318,0,0
44364,1,0
44409,2,0
44455,3,0
44500,0,0
44545,1,0
44727,2,0
44864,1,0
45000,0,0
45136,1,0
45273,2,0
45409,3,0
45545,2,0
45682,1,0
45818,0,0
45955,1,0
46091,2,0
46227,3,0
46364,2,0
46500,1,0
46636,0,0
46773,1,0
46909,2,0
47045,3,0
47182,2,0
47318,1,0
47455,0,0
47591,1,0
47727,2,0
47864,3,0
48000,2,0
48136,1,0
48273,0,0
48409,1,0
48545,2,0
48682,3,0
48818,2,0
48955,1,0
49091,0,0
49227,1,0
49364,2,0
49500,3,0
49636,2,0
49773,1,0
49909,0,0
49909,3,0
49955,2,0
50000,1,0
50045,0,0
50091,3,0
50136,2,0
50182,1,0
50227,0,0
50273,3,0
50318,2,0
50500,1,0
50636,2,0
50773,3,0
50909,2,0
51045,1,0
51182,0,0
