time,lane,type
4000,0,0
4136,1,0
4273,2,0
4409,3,0
4545,2,0
4682,1,0
4818,0,0
4955,1,0
5091,2,0
5227,3,0
5364,2,0
5500,1,0
5636,0,0
5773,1,0
5909,2,0
6045,3,0
6182,2,0
6318,1,0
6455,0,0
6591,1,0
6727,2,0
6864,3,0
7000,2,0
7136,1,0
7273,0,0
7409,1,0
7545,2,0
7682,3,0
7818,2,0
7955,1,0
8091,0,0
8227,1,0
8364,2,0
8500,3,0
8636,2,0
8773,1,0
8909,0,0
9045,1,0
9182,2,0
9318,3,0
9455,2,0
9591,1,0
9727,0,0
9864,1,0
10000,2,0
10136,3,0
10273,2,0
10409,1,0
10545,0,0
10682,1,0
10818,2,0
10955,3,0
11091,2,0
11227,1,0
11364,0,0
11500,1,0
11636,2,0
11773,3,0
11909,2,0
13000,0,0
13000,3,0
13136,2,0
13273,1,0
13409,2,0
13409,1,0
13682,2,0
13818,1,0
13955,3,0
13955,0,0
14227,1,0
14364,2,0
14500,1,0
14500,2,0
14773,1,0
14909,2,0
15045,3,0
15045,0,0
15318,2,0
15455,1,0
15591,2,0
15727,1,0
15864,2,0
16000,1,0
16136,2,0
16273,0,0
16273,3,0
16545,2,0
16682,1,0
16818,2,0
16955,3,0
17091,0,0
17227,1,0
17364,1,0
17500,2,0
17636,2,0
17773,1,0
17909,3,0
18045,0,0
18182,2,0
18318,3,0
18455,2,0
18591,1,0
,,
,,
,,
,,
,,
,,
,,
18727,0,0
18864,2,0
,,
19000,2,0
19136,1,0
19273,0,0
,,
19409,2,0
19545,3,0
19682,1,0
19818,2,0
19955,1,0
20091,2,0
20227,1,0
20364,0,0
20500,1,0
20636,2,0
20773,3,0
20909,2,0
21045,1,0
21182,0,0
,,
21318,1,0
,,
21455,2,0
21591,3,0
21727,2,0
21864,1,0
22000,0,0
,,
22136,1,0
22273,2,0
22409,3,0
,,
22545,2,0
22682,1,0
,,
22818,1,0
22955,1,0
23091,2,0
23227,3,0
23364,2,0
23500,1,0
,,
23636,0,0
23773,1,0
,,
23909,2,0
24045,0,0
,,
24318,1,0
,,
,,
24455,0,0
,,
24591,2,0
24727,2,0
24864,3,0
25000,2,0
,,
25136,1,0
25273,0,0
,,
25409,1,0
25409,2,0
25545,2,0
25682,3,0
25818,2,0
,,
25955,1,0
26091,0,0
,,
26227,1,0
26364,2,0
26500,3,0
26636,2,0
,,
26773,2,0
26909,0,0
27045,1,0
27182,2,0
,,
27318,0,0
27455,2,0
,,
27591,1,0
27727,0,0
,,
27864,2,0
28000,0,0
28000,3,0
28136,3,0
28273,2,0
,,
28409,1,0
28545,0,0
28682,1,0
,,
28818,2,0
28955,3,0
,,
29091,3,0
29227,1,0
29364,0,0
,,
29500,1,0
29636,2,0
,,
29773,3,0
29909,2,0
31409,3,0
31545,3,0
34545,3,0
34818,3,0
35480,3,0
36200,3,0
36727,3,0
37545,3,0
38091,0,0
38227,1,0
40000,0,0
40136,1,0
40273,2,0
40409,3,0
40545,0,0
40682,1,0
40818,2,0
40955,3,0
41091,0,0
41227,1,0
41364,2,0
41500,3,0
41636,0,0
41773,1,0
41909,2,0
42045,3,0
42182,0,0
42318,1,0
42455,2,0
42591,3,0
42727,0,0
42864,1,0
43000,2,0
43136,3,0
43273,0,0
43409,1,0
43545,2,0
43682,3,0
43818,0,0
43955,1,0
44091,2,0
44227,3,0
44364,0,0
44500,1,0
44636,2,0
44773,3,0
44909,0,0
45045,1,0
45182,2,0
45318,3,0
45455,0,0
45591,1,0
45727,2,0
45864,3,0
47000,1,0
47136,2,0
47273,3,0
47409,0,0
47545,1,0
47682,2,0
47818,1,0
47955,0,0
48091,3,0
48227,2,0
48364,3,0
48500,0,0
48636,1,0
48773,2,0
48909,1,0
49045,2,0
49182,3,0
49318,2,0
49455,3,0
49591,2,0
49727,1,0
49864,0,0
50000,3,0
50136,0,0
50273,3,0
,,
50545,3,0
50682,2,0
,,
50955,2,0
51091,1,0
51227,2,0
51364,1,0
51500,2,0
51636,1,0
51773,2,0
,,
52045,2,0
,,
,,
52455,3,0
52591,0,0
52727,1,0
,,
54000,3,0
,,
54136,0,0
,,
54273,2,0
,,
54409,0,0
,,
55000,0,0
55045,1,0
,,
55136,3,0
55182,0,0
55227,1,0
55273,2,0
55318,3,0
55364,0,0
55409,1,0
,,
55500,3,0
55545,0,0
55591,1,0
55636,2,0
55682,3,0
55727,0,0
,,
55818,2,0
55864,3,0
55909,0,0
57000,1,0
57000,3,0
57136,3,0
57136,0,0
57273,3,0
57273,1,0
,,
57409,1,0
57545,1,0
57545,0,0
57682,3,0
57682,2,0
57818,2,0
57818,0,0
,,
57955,2,0
,,
58091,1,0
,,
58227,2,0
58364,0,0
,,
,,
58500,3,0
,,
58636,3,0
,,
,,
58909,3,0
,,
59045,3,0
59045,0,0
,,
,,
59318,0,0
59318,2,0
59455,3,0
,,
,,
,,
59727,1,0
,,
59864,3,0
,,
60000,0,0
,,
,,
,,
60273,3,0
,,
60409,2,0
,,
,,
60545,1,0
,,
,,
60818,2,0
,,
60955,1,0
,,
61091,2,0
,,
61227,1,0
,,
61364,3,0
,,
61500,2,0
,,
,,
,,
,,
61773,2,0
,,
61909,2,0
,,
63273,0,0
63545,2,0
,,
64091,1,0
,,
64636,1,0
,,
65182,2,0
65455,3,0
65727,1,0
,,
66273,0,0
,,
66818,3,0
67091,2,0
,,
67636,2,0
67909,0,0
68182,0,0
68455,3,0
68727,2,0
,,
69273,2,0
69545,3,0
69818,3,0
70091,2,0
70364,0,0
70636,0,0
70909,0,0
72000,0,0
72136,1,0
72273,2,0
72409,3,0
72545,2,0
72682,1,0
72818,0,0
72955,1,0
73091,2,0
73227,3,0
73364,2,0
73500,1,0
73636,0,0
73773,1,0
73909,2,0
74045,3,0
74182,2,0
74318,1,0
74455,0,0
74591,1,0
74727,2,0
74864,3,0
75000,2,0
75136,1,0
75273,0,0
,,
75545,2,0
75682,3,0
75818,2,0
75955,1,0
,,
76227,1,0
76364,2,0
76500,3,0
76636,2,0
,,
76909,0,0
77045,1,0
,,
77318,3,0
77455,2,0
77591,1,0
,,
77864,1,0
78000,2,0
78136,3,0
78273,2,0
78409,1,0
78545,0,0
78682,1,0
78818,2,0
78955,3,0
79091,2,0
79227,1,0
79364,0,0
79500,1,0
79636,2,0
