time,lane,type
0,2,0
125,0,0
250,1,0
375,3,0
500,0,0
500,3,0
625,2,0
750,2,0
1000,0,0
1000,1,0
1000,2,0
1000,3,0
1250,0,0
1500,1,0
1500,3,0
1625,0,0
1625,2,0
1750,3,0
2000,0,0
2125,2,0
2500,0,0
2500,3,0
2625,2,0
2750,2,0
3000,0,0
3125,0,0
3250,2,0
3438,0,0
3500,2,0
3625,1,0
3875,1,0
4000,1,0
4375,0,0
4500,0,0
4500,1,0
4500,2,0
4500,3,0
4750,1,0
4875,2,0
5375,2,0
5625,1,0
5750,0,0
5750,3,0
5875,1,0
6000,3,0
6125,0,0
6250,3,0
6375,0,0
6625,3,0
6750,0,0
7000,0,0
7000,1,0
7000,2,0
7000,3,0
7125,0,0
7125,3,0
7500,0,0
7500,2,0
7500,3,0
7875,1,0
8000,0,0
8000,2,0
8500,2,0
8625,1,0
8625,3,0
8875,0,0
8875,3,0
9125,2,0
9250,1,0
9375,2,0
9375,3,0
10125,1,0
10250,2,0
10375,0,0
10375,1,0
10375,3,0
10500,1,0
10625,2,0
10625,3,0
10688,0,0
10875,2,0
11000,2,0
11250,1,0
11375,3,0
11625,1,0
11750,1,0
11750,2,0
12000,0,0
12000,1,0
12375,0,0
12375,1,0
12500,0,0
12625,3,0
12875,0,0
12875,2,0
13625,1,0
13750,2,0
14375,3,0
14625,0,0
14750,1,0
14750,2,0
15250,2,0
15500,0,0
15500,1,0
16000,3,0
16125,0,0
16250,0,0
16250,3,0
16500,2,0
16750,3,0
16875,2,0
17125,1,0
17250,2,0
17500,1,0
17625,3,0
17750,0,0
17875,0,0
18000,3,0
18125,1,0
18125,3,0
18250,2,0
18375,0,0
18375,3,0
18500,0,0
18500,1,0
18500,3,0
18625,3,0
18750,3,0
19125,2,0
19250,0,0
19250,2,0
19250,3,0
19375,1,0
19500,1,0
19500,2,0
19500,3,0
19625,0,0
19750,0,0
19875,0,0
19875,1,0
19875,3,0
20125,0,0
20125,2,0
20250,2,0
20438,3,0
20875,2,0
20875,3,0
21000,3,0
21125,1,0
21250,1,0
21250,3,0
21500,3,0
21875,1,0
22500,2,0
22625,2,0
23000,1,0
23875,1,0
24500,1,0
24625,0,0
24625,3,0
24750,0,0
25000,3,0
25250,3,0
25500,0,0
25625,0,0
25750,0,0
26000,2,0
26125,2,0
26500,2,0
26625,2,0
26875,2,0
27125,0,0
27375,0,0
27625,2,0
27625,3,0
28000,2,0
28125,1,0
28500,2,0
28625,0,0
28625,2,0
28750,2,0
28875,0,0
29000,1,0
29000,2,0
29000,3,0
29250,0,0
29375,0,0
29375,1,0
29375,2,0
29375,3,0
29625,0,0
29625,3,0
29750,1,0
29875,1,0
29875,3,0
30000,2,0
30000,3,0
30250,3,0
30500,1,0
30625,3,0
31250,2,0
31875,1,0
31875,2,0
31875,3,0
32250,2,0
32250,3,0
32375,2,0
32625,0,0
32750,0,0
32750,1,0
32750,3,0
32875,3,0
33125,1,0
33125,3,0
33250,2,0
33375,1,0
33375,3,0
33500,2,0
33625,1,0
33625,2,0
33625,3,0
33750,1,0
33875,2,0
34125,0,0
34125,2,0
34625,1,0
34875,2,0
