time,lane,type
0,0,0
0,1,0
250,1,0
500,2,0
1000,3,0
1250,0,0
1250,1,0
1500,1,0
2000,2,0
2250,3,0
2500,0,0
2500,1,0
3000,1,0
3250,2,0
3500,3,0
4000,0,0
4250,1,0
4500,2,0
5000,3,0
5000,0,0
5250,0,0
5500,1,0
6000,2,0
6250,3,0
6250,0,0
6500,0,0
7000,1,0
7250,2,0
7500,3,0
7500,0,0
8000,0,0
8250,1,0
8500,2,0
9000,3,0
9250,0,0
9500,1,0
10000,2,0
10000,3,0
10250,3,0
10500,0,0
11000,1,0
11250,2,0
11250,3,0
11500,3,0
12000,0,0
12250,1,0
12500,2,0
12500,3,0
13000,3,0
13250,0,0
13500,1,0
14000,2,0
14250,3,0
14500,0,0
15000,1,0
15000,2,0
15250,2,0
15500,3,0
16000,0,0
16250,1,0
16250,2,0
16500,2,0
17000,3,0
17250,0,0
17500,1,0
17500,2,0
18000,2,0
18250,3,0
18500,0,0
19000,1,0
19250,2,0
19500,3,0
20000,0,0
20000,1,0
20250,1,0
20500,2,0
21000,3,0
21250,0,0
21250,1,0
21500,1,0
22000,2,0
22250,3,0
22500,0,0
22500,1,0
23000,1,0
23250,2,0
23500,3,0
24000,0,0
24250,1,0
24500,2,0
25000,3,0
25000,0,0
25250,0,0
25500,1,0
26000,2,0
26250,3,0
26250,0,0
26500,0,0
27000,1,0
27250,2,0
27500,3,0
27500,0,0
28000,0,0
28250,1,0
28500,2,0
29000,3,0
29250,0,0
29500,1,0
30000,2,0
30000,3,0
30250,3,0
30500,0,0
31000,1,0
31250,2,0
31250,3,0
31500,3,0
32000,0,0
32250,1,0
32500,2,0
32500,3,0
33000,3,0
33250,0,0
33500,1,0
34000,2,0
34250,3,0
34500,0,0
35000,1,0
35000,2,0
35250,2,0
35500,3,0
36000,0,0
36250,1,0
36250,2,0
36500,2,0
37000,3,0
37250,0,0
37500,1,0
37500,2,0
38000,2,0
38250,3,0
38500,0,0
39000,1,0
39250,2,0
39500,3,0
40000,0,0
40000,1,0
40250,1,0
40500,2,0
41000,3,0
41250,0,0
41250,1,0
41500,1,0
42000,2,0
42250,3,0
42500,0,0
42500,1,0
43000,1,0
43250,2,0
43500,3,0
44000,0,0
44250,1,0
44500,2,0
45000,3,0
45000,0,0
45250,0,0
45500,1,0
46000,2,0
46250,3,0
46250,0,0
46500,0,0
47000,1,0
47250,2,0
47500,3,0
47500,0,0
48000,0,0
48250,1,0
48500,2,0
49000,3,0
49250,0,0
49500,1,0
50000,2,0
50000,3,0
50250,3,0
50500,0,0
51000,1,0
51250,2,0
51250,3,0
51500,3,0
52000,0,0
52250,1,0
52500,2,0
52500,3,0
53000,3,0
53250,0,0
53500,1,0
54000,2,0
54250,3,0
54500,0,0
55000,1,0
55000,2,0
55250,2,0
55500,3,0
56000,0,0
56250,1,0
56250,2,0
56500,2,0
57000,3,0
57250,0,0
57500,1,0
57500,2,0
58000,2,0
58250,3,0
58500,0,0
59000,1,0
59250,2,0
59500,3,0
60000,0,0
60000,1,0
60250,1,0
60500,2,0
61000,3,0
61250,0,0
61250,1,0
61500,1,0
62000,2,0
62250,3,0
62500,0,0
62500,1,0
63000,1,0
63250,2,0
63500,3,0
64000,0,0
64250,1,0
64500,2,0
65000,3,0
65000,0,0
65250,0,0
65500,1,0
66000,2,0
66250,3,0
66250,0,0
66500,0,0
67000,1,0
67250,2,0
67500,3,0
67500,0,0
68000,0,0
68250,1,0
68500,2,0
69000,3,0
69250,0,0
69500,1,0
70000,2,0
70000,3,0
70250,3,0
70500,0,0
71000,1,0
71250,2,0
71250,3,0
71500,3,0
72000,0,0
72250,1,0
72500,2,0
72500,3,0
73000,3,0
73250,0,0
73500,1,0
74000,2,0
74250,3,0
74500,0,0
75000,1,0
75000,2,0
75250,2,0
75500,3,0
76000,0,0
76250,1,0
76250,2,0
76500,2,0
77000,3,0
77250,0,0
77500,1,0
77500,2,0
78000,2,0
78250,3,0
78500,0,0
79000,1,0
79250,2,0
79500,3,0
80000,0,0
80000,1,0
80250,1,0
80500,2,0
81000,3,0
81250,0,0
81250,1,0
81500,1,0
82000,2,0
82250,3,0
82500,0,0
82500,1,0
83000,1,0
83250,2,0
83500,3,0
84000,0,0
84250,1,0
84500,2,0
85000,3,0
85000,0,0
85250,0,0
85500,1,0
86000,2,0
86250,3,0
86250,0,0
86500,0,0
87000,1,0
87250,2,0
87500,3,0
87500,0,0
88000,0,0
88250,1,0
88500,2,0
89000,3,0
89250,0,0
89500,1,0
90000,2,0
90000,3,0
90250,3,0
90500,0,0
91000,1,0
91250,2,0
91250,3,0
91500,3,0
92000,0,0
92250,1,0
92500,2,0
92500,3,0
93000,3,0
93250,0,0
93500,1,0
94000,2,0
94250,3,0
94500,0,0
95000,1,0
95000,2,0
95250,2,0
95500,3,0
96000,0,0
96250,1,0
96250,2,0
96500,2,0
97000,3,0
97250,0,0
97500,1,0
97500,2,0
98000,2,0
98250,3,0
98500,0,0
99000,1,0
99250,2,0
99500,3,0
100000,0,0
100000,1,0
100250,1,0
100500,2,0
101000,3,0
101250,0,0
101250,1,0
101500,1,0
102000,2,0
102250,3,0
102500,0,0
102500,1,0
103000,1,0
103250,2,0
103500,3,0
104000,0,0
104250,1,0
104500,2,0
105000,3,0
105000,0,0
105250,0,0
105500,1,0
106000,2,0
106250,3,0
106250,0,0
106500,0,0
107000,1,0
107250,2,0
107500,3,0
107500,0,0
108000,0,0
108250,1,0
108500,2,0
109000,3,0
109250,0,0
109500,1,0
110000,2,0
110000,3,0
110250,3,0
110500,0,0
111000,1,0
111250,2,0
111250,3,0
111500,3,0
112000,0,0
112250,1,0
112500,2,0
112500,3,0
113000,3,0
113250,0,0
113500,1,0
114000,2,0
114250,3,0
114500,0,0
115000,1,0
115000,2,0
115250,2,0
115500,3,0
116000,0,0
116250,1,0
116250,2,0
116500,2,0
117000,3,0
117250,0,0
117500,1,0
117500,2,0
118000,2,0
118250,3,0
118500,0,0
119000,1,0
119250,2,0
119500,3,0
120000,0,0
120000,1,0
120250,1,0
120500,2,0
121000,3,0
121250,0,0
121250,1,0
121500,1,0
122000,2,0
122250,3,0
122500,0,0
122500,1,0
123000,1,0
123250,2,0
123500,3,0
124000,0,0
124250,1,0
124500,2,0
125000,3,0
125000,0,0
125250,0,0
125500,1,0
126000,2,0
126250,3,0
126250,0,0
126500,0,0
127000,1,0
127250,2,0
127500,3,0
127500,0,0
128000,0,0
128250,1,0
128500,2,0
129000,3,0
129250,0,0
129500,1,0
130000,2,0
130000,3,0
130250,3,0
130500,0,0
131000,1,0
131250,2,0
131250,3,0
131500,3,0
132000,0,0
132250,1,0
132500,2,0
132500,3,0
133000,3,0
133250,0,0
133500,1,0
134000,2,0
134250,3,0
134500,0,0
135000,1,0
135000,2,0
135250,2,0
135500,3,0
136000,0,0
136250,1,0
136250,2,0
136500,2,0
137000,3,0
