time,lane,type
0,1,0
750,2,0
1000,0,0
1250,2,0
1750,2,0
2250,0,0
2500,0,0
3000,2,0
3500,2,0
3750,2,0
4000,3,0
5000,3,0
5750,0,0
6250,0,0
6500,1,0
6750,1,0
8500,0,0
8750,2,0
9250,2,0
9500,3,0
10000,2,0
10500,3,0
10750,3,0
11000,0,0
11500,0,0
12500,1,0
13750,1,0
14000,3,0
14250,0,0
14750,2,0
15000,3,0
16000,3,0
16250,0,0
17250,2,0
17500,1,0
17750,2,0
18250,3,0
19250,3,0
19500,1,0
20750,3,0
21000,2,0
21250,1,0
21500,0,0
22750,1,0
23250,3,0
24000,2,0
24750,1,0
25000,0,0
25250,3,0
25500,3,0
25750,0,0
26000,0,0
26500,0,0
26750,1,0
27000,0,0
27250,0,0
27500,2,0
27750,3,0
28000,2,0
28250,3,0
28750,2,0
29250,2,0
29500,2,0
29750,0,0
30250,2,0
30500,2,0
31250,3,0
31500,1,0
31750,0,0
33000,0,0
33500,3,0
33750,2,0
34000,1,0
34500,1,0
34750,2,0
36000,1,0
37000,2,0
37250,1,0
38000,1,0
38250,2,0
39500,1,0
39750,0,0
40000,3,0
40250,1,0
40500,1,0
41000,0,0
41500,1,0
41750,2,0
42000,2,0
42250,0,0
42500,1,0
43000,0,0
44500,3,0
45250,0,0
45500,2,0
46000,3,0
46500,2,0
46750,1,0
47250,1,0
48250,3,0
48500,0,0
49250,2,0
50000,1,0
50500,3,0
51500,3,0
51750,1,0
52500,3,0
53000,2,0
53250,2,0
53500,2,0
53750,1,0
54000,3,0
54250,1,0
54500,2,0
54750,2,0
55000,1,0
55250,3,0
55500,0,0
55750,3,0
56000,1,0
56250,3,0
57000,0,0
57750,3,0
58000,0,0
59250,2,0
59500,2,0
60000,0,0
60500,0,0
61000,1,0
61250,3,0
61500,0,0
62500,0,0
62750,1,0
63000,0,0
63250,1,0
63500,3,0
63750,3,0
64000,1,0
64500,2,0
64750,3,0
65500,2,0
65750,0,0
66250,1,0
66750,3,0
67000,2,0
67250,2,0
68000,0,0
70250,2,0
71000,1,0
72000,2,0
72250,3,0
72500,2,0
73000,1,0
73250,3,0
73500,3,0
74500,0,0
75500,1,0
75750,3,0
76250,1,0
76750,3,0
77000,1,0
77250,3,0
78000,3,0
80750,3,0
81000,3,0
81250,0,0
81500,2,0
82000,0,0
82500,3,0
82750,1,0
83000,0,0
83500,1,0
83750,2,0
84000,2,0
85000,0,0
85500,3,0
85750,0,0
86000,2,0
86250,1,0
86750,0,0
88250,1,0
88500,1,0
89250,1,0
90500,3,0
91000,0,0
91250,3,0
91500,3,0
92000,3,0
92250,0,0
92500,1,0
92750,3,0
93750,2,0
94000,3,0
94250,0,0
94750,1,0
95250,3,0
96000,0,0
96250,0,0
97000,2,0
97250,3,0
97500,2,0
98000,3,0
99500,2,0
100000,3,0
100500,2,0
100750,1,0
101250,1,0
102250,2,0
103500,2,0
103750,1,0
104000,2,0
104250,2,0
