time,lane,type
0,3,0
0,0,0
0,1,0
83,2,0
166,0,0
250,2,0
250,0,0
250,3,0
333,1,0
416,1,0
416,0,0
499,1,0
499,0,0
499,3,0
583,1,0
666,2,0
666,3,0
666,0,0
750,0,0
750,3,0
833,2,0
833,0,0
916,3,0
916,0,0
916,1,0
1000,1,0
1000,3,0
1000,2,0
1083,3,0
1166,1,0
1166,0,0
1250,1,0
1333,0,0
1333,2,0
1416,0,0
1416,3,0
1499,3,0
1499,0,0
1583,2,0
1583,0,0
1583,1,0
1666,1,0
1666,2,0
1666,3,0
1749,1,0
1749,0,0
1833,1,0
1833,0,0
1916,1,0
1916,2,0
1999,3,0
1999,1,0
2083,3,0
2166,1,0
2249,1,0
2333,3,0
2333,1,0
2333,2,0
2416,1,0
2416,0,0
2500,1,0
2583,0,0
2583,2,0
2583,3,0
2666,0,0
2750,0,0
2833,1,0
2833,3,0
2833,2,0
2916,0,0
2916,2,0
3000,3,0
3000,1,0
3083,1,0
3166,0,0
3166,3,0
3250,1,0
3333,2,0
3333,1,0
3416,3,0
3416,0,0
3500,0,0
3500,3,0
3583,3,0
3666,0,0
3666,1,0
3666,2,0
3750,3,0
3833,1,0
3916,0,0
4000,3,0
4083,3,0
4083,2,0
4166,3,0
4250,1,0
4333,1,0
4333,3,0
4416,3,0
4416,2,0
4500,1,0
4583,3,0
4666,0,0
4666,3,0
4666,2,0
4750,3,0
4750,2,0
4833,0,0
4833,1,0
4916,1,0
5000,1,0
5000,0,0
5000,2,0
5083,1,0
5083,3,0
5166,2,0
5166,3,0
5249,1,0
5333,3,0
5416,1,0
5416,3,0
5416,0,0
5499,0,0
5499,1,0
5499,3,0
5583,0,0
5666,3,0
5666,1,0
5749,0,0
5749,3,0
5749,2,0
5833,2,0
5833,1,0
5916,0,0
5999,2,0
5999,1,0
5999,0,0
6083,2,0
6166,1,0
6249,1,0
6249,3,0
6333,0,0
6416,0,0
6499,2,0
6583,1,0
6583,0,0
6583,2,0
6666,1,0
6666,0,0
6666,2,0
6749,0,0
6749,1,0
6833,2,0
6833,0,0
6833,1,0
6916,1,0
6916,3,0
6916,0,0
6999,2,0
6999,1,0
6999,3,0
7083,3,0
7083,0,0
7083,1,0
7166,1,0
7249,3,0
7249,2,0
7249,1,0
7333,3,0
7333,2,0
7416,0,0
7416,2,0
7499,1,0
7499,0,0
7499,3,0
7583,1,0
7583,3,0
7666,1,0
7749,3,0
7749,2,0
7749,0,0
7833,1,0
7916,2,0
7916,1,0
7999,2,0
7999,3,0
7999,1,0
8083,2,0
8083,1,0
8083,3,0
8166,1,0
8166,0,0
8249,3,0
8249,0,0
8249,2,0
8333,2,0
8416,0,0
8499,0,0
8499,2,0
8499,3,0
8583,1,0
8666,2,0
8666,1,0
8749,0,0
8749,3,0
8833,1,0
8916,1,0
8999,0,0
8999,1,0
9083,3,0
9166,2,0
9166,0,0
9249,2,0
9249,0,0
9333,1,0
9333,2,0
9416,0,0
9416,2,0
9499,0,0
9499,2,0
9499,3,0
9583,1,0
9583,2,0
9583,3,0
9666,2,0
9666,0,0
9666,1,0
9750,2,0
9833,2,0
9833,0,0
9833,1,0
9916,1,0
9916,3,0
9916,2,0
10000,1,0
10000,3,0
10083,3,0
10083,1,0
10166,2,0
10166,0,0
10250,0,0
10250,1,0
10333,3,0
10416,2,0
10416,0,0
10500,0,0
10583,2,0
10666,2,0
10750,2,0
10833,0,0
10833,2,0
10916,2,0
10916,1,0
11000,0,0
11000,3,0
11083,0,0
11166,0,0
11166,2,0
11250,3,0
11333,3,0
11333,1,0
11416,0,0
11500,2,0
11583,0,0
11583,2,0
11666,0,0
11750,2,0
11833,3,0
11833,0,0
11833,2,0
11916,0,0
11916,3,0
12000,1,0
12000,2,0
12083,1,0
12166,3,0
12166,0,0
12166,2,0
12250,1,0
12250,3,0
12333,2,0
12416,1,0
12500,3,0
12583,2,0
12666,1,0
12750,3,0
12833,2,0
12916,2,0
12916,0,0
13000,0,0
13000,3,0
13083,3,0
13166,2,0
13250,2,0
13250,1,0
13250,3,0
13333,2,0
13416,2,0
13416,1,0
13500,2,0
13500,0,0
13583,3,0
13666,2,0
13666,0,0
13750,2,0
13750,0,0
13833,0,0
13916,1,0
13916,2,0
14000,3,0
14083,0,0
14166,3,0
14250,2,0
14250,3,0
14333,0,0
14416,0,0
14416,2,0
14500,1,0
14583,1,0
14666,2,0
14666,1,0
14750,0,0
14750,1,0
14750,2,0
14833,0,0
14833,3,0
14916,3,0
15000,3,0
15000,2,0
15083,2,0
15166,0,0
15166,3,0
15166,2,0
15250,0,0
15250,3,0
15333,2,0
15416,2,0
15500,1,0
15500,3,0
15583,3,0
15583,1,0
15583,0,0
15666,0,0
15750,0,0
15750,1,0
15750,3,0
15833,0,0
15916,1,0
16000,0,0
16000,2,0
16083,0,0
16166,2,0
16166,0,0
16166,1,0
16250,1,0
16333,0,0
16416,1,0
16500,3,0
16583,1,0
16666,2,0
16750,2,0
16750,0,0
16750,1,0
16833,3,0
16916,0,0
16916,1,0
17000,3,0
17083,0,0
17166,0,0
17166,1,0
17166,2,0
17250,3,0
17250,1,0
17250,0,0
17333,2,0
17333,1,0
17416,3,0
17500,0,0
17583,1,0
17666,2,0
17666,0,0
17750,0,0
17750,2,0
17750,1,0
17833,1,0
17916,1,0
18000,0,0
18083,0,0
18083,3,0
18166,2,0
18166,1,0
18250,1,0
18333,0,0
18333,3,0
18416,3,0
18500,3,0
18500,1,0
18583,0,0
18666,2,0
18666,3,0
18666,0,0
18750,3,0
18833,1,0
18833,3,0
18916,3,0
18916,2,0
19000,1,0
19000,3,0
19083,2,0
19083,3,0
19083,1,0
19166,3,0
19166,1,0
19250,0,0
19250,3,0
19333,0,0
19416,3,0
19416,1,0
19416,0,0
19500,3,0
19583,3,0
19666,0,0
19750,1,0
19750,2,0
19833,0,0
19916,1,0
19916,3,0
19999,2,0
20083,2,0
20083,1,0
20166,0,0
20166,1,0
20166,2,0
20249,3,0
20249,2,0
20333,1,0
20416,0,0
20416,1,0
20499,3,0
20499,0,0
20499,1,0
20583,2,0
20583,0,0
20666,2,0
20666,1,0
20749,3,0
