time,lane,type
333,3,0
666,0,0
833,0,0
999,1,0
1166,1,0
1166,3,0
1333,0,0
1333,3,0
1500,3,0
1666,2,0
1666,1,0
1833,3,0
2000,0,0
2000,2,0
2166,3,0
2333,2,0
2500,1,0
2999,0,0
2999,1,0
3333,0,0
3333,1,0
3499,1,0
3499,3,0
3666,0,0
3833,2,0
3833,1,0
4333,1,0
4499,1,0
4499,3,0
4666,0,0
4833,0,0
4833,3,0
5166,1,0
5500,2,0
5500,3,0
5666,3,0
5666,2,0
5833,0,0
5833,2,0
6000,3,0
6166,3,0
6333,3,0
6666,2,0
6666,1,0
7166,3,0
7333,0,0
7333,1,0
7500,1,0
7666,0,0
7666,1,0
8000,1,0
8166,1,0
8166,0,0
8333,0,0
8500,2,0
8666,3,0
8833,2,0
9000,1,0
9000,2,0
9166,0,0
9333,0,0
9666,3,0
9666,0,0
9833,3,0
10000,2,0
10333,1,0
10333,3,0
10499,3,0
10999,3,0
11166,0,0
11333,1,0
11333,0,0
11499,3,0
11666,0,0
11833,2,0
11999,1,0
11999,0,0
12166,0,0
12333,3,0
12333,1,0
12499,1,0
12666,0,0
12833,2,0
13166,3,0
13333,0,0
13499,2,0
13999,0,0
13999,1,0
14166,0,0
14166,3,0
14333,1,0
14666,2,0
14666,0,0
14833,3,0
14999,0,0
15166,2,0
15166,0,0
15666,2,0
15833,0,0
15833,1,0
15999,1,0
16166,1,0
16166,2,0
16333,2,0
16499,1,0
16666,2,0
16833,3,0
16833,1,0
16999,0,0
17166,0,0
17333,1,0
17666,1,0
17666,0,0
17833,2,0
17833,0,0
17999,3,0
18166,1,0
18333,2,0
18499,3,0
18833,0,0
18833,3,0
19333,2,0
19500,3,0
19666,0,0
19833,2,0
20166,2,0
20333,0,0
20666,2,0
21000,1,0
21000,2,0
21166,2,0
21333,1,0
21500,2,0
21666,3,0
21833,3,0
22000,1,0
22000,0,0
22166,2,0
22166,1,0
22333,3,0
22500,2,0
22666,3,0
22833,2,0
22833,0,0
23000,0,0
23166,0,0
23333,3,0
23500,2,0
24166,3,0
24333,0,0
24833,1,0
25000,3,0
25166,0,0
25333,0,0
25666,1,0
25833,1,0
25833,3,0
26000,2,0
26166,2,0
26500,1,0
26666,2,0
26833,3,0
27000,3,0
27166,3,0
27500,1,0
27500,2,0
27666,0,0
27666,2,0
28000,2,0
28166,2,0
28500,0,0
28666,0,0
28833,0,0
29000,3,0
29166,1,0
29333,2,0
29500,1,0
29500,2,0
29666,2,0
29666,1,0
30000,3,0
30166,0,0
30333,0,0
30500,0,0
30500,3,0
30666,2,0
30666,3,0
30833,1,0
31000,2,0
31166,2,0
31166,0,0
31333,2,0
31500,3,0
31666,1,0
32000,2,0
32000,3,0
32166,2,0
32166,3,0
32500,1,0
33000,1,0
33000,0,0
33166,1,0
33333,2,0
33333,1,0
33500,0,0
33833,1,0
34000,3,0
34333,1,0
34333,3,0
34500,3,0
34500,0,0
34833,0,0
35166,3,0
35166,0,0
35333,1,0
35500,3,0
35666,2,0
36000,2,0
36166,3,0
36333,3,0
36500,2,0
36666,1,0
36833,0,0
37000,3,0
37166,3,0
37333,1,0
37500,0,0
37666,1,0
37833,1,0
38000,0,0
38000,2,0
38333,1,0
38500,1,0
38666,0,0
38833,1,0
39000,2,0
39166,0,0
39333,2,0
39666,0,0
39666,3,0
39833,2,0
39999,0,0
39999,2,0
40333,2,0
40499,3,0
40499,0,0
40666,0,0
40833,2,0
41166,1,0
41333,3,0
41333,1,0
41499,2,0
41666,1,0
41833,0,0
41999,2,0
41999,3,0
42166,2,0
42166,3,0
42333,3,0
42499,1,0
42666,0,0
42833,1,0
42999,2,0
43166,3,0
43333,1,0
43499,2,0
43499,3,0
43666,1,0
43833,1,0
43999,1,0
44333,2,0
44333,0,0
44499,0,0
44666,0,0
44833,2,0
44833,3,0
44999,3,0
45166,0,0
45333,1,0
45499,0,0
45833,3,0
45999,2,0
46333,3,0
46333,2,0
46499,0,0
46666,3,0
46666,2,0
46833,1,0
46999,3,0
47166,3,0
47166,0,0
47333,0,0
47499,0,0
47666,2,0
47999,0,0
48166,3,0
48333,1,0
48333,3,0
48499,0,0
48666,0,0
48666,2,0
48833,0,0
48999,1,0
49166,3,0
49333,2,0
49333,3,0
49499,2,0
49499,1,0
49666,1,0
49666,2,0
49833,3,0
49833,2,0
49999,2,0
50166,3,0
50333,1,0
50499,0,0
51499,2,0
51666,3,0
51833,0,0
51999,1,0
51999,2,0
52166,2,0
52166,3,0
52499,0,0
52666,1,0
52666,3,0
52833,0,0
52833,3,0
53166,3,0
53333,3,0
53333,2,0
53499,3,0
53666,1,0
53666,3,0
53833,2,0
54166,0,0
54166,1,0
54333,1,0
54833,2,0
54833,3,0
54999,1,0
55166,2,0
55333,1,0
55499,0,0
55499,2,0
55833,2,0
55999,0,0
56166,3,0
56166,1,0
56333,2,0
56499,0,0
56499,3,0
56666,0,0
56833,3,0
56999,3,0
57166,0,0
57333,3,0
57499,1,0
57666,3,0
57666,2,0
57833,2,0
57833,1,0
57999,2,0
58166,2,0
58333,2,0
58499,0,0
58666,1,0
58666,3,0
58833,2,0
59166,0,0
59333,2,0
59499,3,0
59666,0,0
59833,2,0
59999,3,0
60333,3,0
60499,2,0
60666,0,0
60666,3,0
60833,1,0
60833,3,0
60999,0,0
60999,2,0
61166,1,0
61166,2,0
61333,3,0
61666,2,0
61833,1,0
61833,0,0
61999,1,0
62166,0,0
62166,2,0
62333,3,0
62499,2,0
62499,1,0
62666,1,0
62833,1,0
62999,3,0
63166,3,0
63499,0,0
63666,3,0
63833,1,0
63999,2,0
64333,2,0
64666,2,0
64833,2,0
65166,1,0
65499,3,0
65666,1,0
65833,3,0
65999,3,0
66166,3,0
66333,3,0
66499,2,0
66833,3,0
66999,0,0
66999,2,0
67166,2,0
67499,3,0
67666,0,0
67833,3,0
67833,1,0
67999,2,0
68166,3,0
68166,2,0
68499,3,0
68499,0,0
68666,3,0
68666,0,0
68833,1,0
68999,3,0
68999,2,0
69166,0,0
69499,2,0
69499,1,0
69833,1,0
70166,2,0
70166,3,0
70333,2,0
70499,2,0
70666,3,0
70999,0,0
71166,0,0
71333,3,0
71666,1,0
71833,3,0
71833,2,0
71999,2,0
71999,3,0
72166,0,0
72499,2,0
72833,3,0
72999,0,0
73166,1,0
73166,0,0
73333,2,0
73333,0,0
73666,0,0
73833,1,0
73999,3,0
73999,2,0
74166,0,0
74333,1,0
74333,0,0
74499,0,0
74499,1,0
74666,1,0
74833,3,0
74999,1,0
75166,0,0
75333,0,0
75333,2,0
75666,3,0
76166,1,0
76999,0,0
77166,2,0
77333,0,0
77666,1,0
77833,1,0
77833,2,0
77999,1,0
77999,0,0
78166,1,0
78166,0,0
78333,2,0
78333,3,0
78500,3,0
78500,1,0
78833,0,0
79000,3,0
79166,3,0
79333,2,0
79500,1,0
79833,0,0
79833,1,0
80000,0,0
80166,3,0
80333,2,0
80500,2,0
80833,0,0
81000,0,0
81166,1,0
81500,0,0
81666,2,0
81833,0,0
82000,3,0
82166,1,0
82333,1,0
82500,1,0
82500,3,0
82666,0,0
82666,3,0
82833,2,0
83000,3,0
83166,2,0
83333,3,0
83500,1,0
83666,2,0
83666,0,0
83833,0,0
83833,1,0
84000,0,0
84166,3,0
84500,0,0
84666,2,0
84833,1,0
85000,1,0
85000,2,0
85333,0,0
85500,2,0
85666,1,0
85833,3,0
86000,3,0
86166,2,0
86333,1,0
86500,2,0
86666,3,0
86833,0,0
86833,1,0
87000,1,0
87166,1,0
87333,1,0
87333,2,0
87500,3,0
87666,2,0
87833,1,0
88000,3,0
88166,0,0
88333,0,0
88500,2,0
88666,3,0
88833,0,0
89166,0,0
89500,1,0
89666,2,0
89833,1,0
90000,0,0
90333,0,0
90333,1,0
90666,3,0
90833,3,0
91000,3,0
91166,3,0
91166,2,0
91333,3,0
91500,0,0
91833,2,0
91833,3,0
92000,1,0
92166,2,0
92333,2,0
92666,2,0
92833,1,0
93166,3,0
93166,1,0
93333,0,0
93666,1,0
93833,2,0
94166,2,0
94500,3,0
95000,1,0
95000,0,0
95166,2,0
95833,3,0
95833,1,0
96000,2,0
96166,0,0
96333,1,0
96500,1,0
96833,0,0
97000,0,0
97166,3,0
97500,3,0
97500,1,0
97666,1,0
98000,3,0
98333,3,0
98500,3,0
98500,0,0
98666,1,0
98666,2,0
98833,1,0
99000,2,0
99166,3,0
99333,0,0
99333,2,0
99500,0,0
99500,3,0
100166,3,0
100333,2,0
100500,0,0
100666,3,0
100666,0,0
100833,0,0
101000,1,0
101166,2,0
101333,1,0
101500,3,0
101666,2,0
101666,0,0
101833,3,0
101833,2,0
102000,3,0
102166,0,0
102166,3,0
102333,3,0
102500,3,0
102500,0,0
102666,2,0
102833,0,0
103000,1,0
103166,3,0
103333,2,0
103500,2,0
103666,3,0
103833,2,0
104000,2,0
104333,2,0
104500,2,0
104500,1,0
104666,1,0
104666,2,0
105000,1,0
105166,3,0
105166,2,0
105333,2,0
105833,3,0
106000,3,0
106166,0,0
106166,1,0
106333,1,0
106833,1,0
107000,0,0
107166,2,0
107500,1,0
107666,3,0
107666,1,0
107833,2,0
108000,2,0
108166,2,0
108333,2,0
108500,1,0
108500,0,0
108666,0,0
108833,1,0
109166,2,0
109333,1,0
109333,3,0
109500,0,0
109666,2,0
109833,1,0
110000,0,0
110166,3,0
110166,2,0
110333,2,0
110333,0,0
110666,3,0
111000,0,0
111166,0,0
111500,3,0
111666,1,0
111666,3,0
111833,2,0
111833,3,0
112000,3,0
112000,0,0
112166,2,0
112166,0,0
112500,1,0
112666,0,0
112833,0,0
113000,1,0
113166,2,0
113333,1,0
113500,0,0
113666,3,0
113833,2,0
114000,1,0
114333,0,0
114500,0,0
114666,1,0
114833,0,0
115000,3,0
115166,2,0
115333,1,0
115500,3,0
115666,0,0
115833,2,0
116000,0,0
116166,1,0
116166,0,0
116500,0,0
116666,3,0
117000,0,0
117166,0,0
117333,0,0
117666,3,0
117666,0,0
117833,3,0
118000,2,0
118166,3,0
118166,0,0
118500,3,0
118666,1,0
118833,0,0
119000,0,0
119166,1,0
119333,1,0
119500,2,0
119666,1,0
119833,1,0
120000,0,0
120000,2,0
120166,1,0
120333,2,0
120333,3,0
120666,3,0
120833,2,0
121000,0,0
121166,3,0
121333,2,0
121500,1,0
122166,1,0
122500,0,0
122666,0,0
122833,0,0
122833,2,0
123166,2,0
123333,0,0
123500,0,0
123666,1,0
123833,0,0
124000,0,0
124000,3,0
124166,2,0
124166,0,0
124333,0,0
124500,3,0
124500,2,0
124666,1,0
124833,3,0
124833,2,0
125000,2,0
125166,1,0
125333,0,0
125500,0,0
125666,2,0
125666,0,0
126000,3,0
126166,2,0
126166,0,0
126333,1,0
126500,3,0
126500,0,0
126666,1,0
126833,2,0
127000,1,0
127166,0,0
127333,1,0
127500,0,0
127666,0,0
127666,1,0
127833,0,0
127833,2,0
128000,1,0
128166,3,0
128500,2,0
128500,3,0
128833,0,0
129000,3,0
129000,0,0
129166,1,0
129500,2,0
129833,2,0
130000,3,0
130333,0,0
130500,3,0
130666,0,0
130666,2,0
130833,3,0
130833,0,0
131000,0,0
131000,1,0
131166,2,0
131333,3,0
131333,0,0
131666,2,0
131833,3,0
132166,3,0
132166,1,0
132333,2,0
132500,3,0
